层次	  子女号   	数量	项目名称	标识码	状态	   子女号  	数量	  项目名称  	标识码	状态
2	    Q1841250	2	六角法兰面螺栓	61	D	    Q1841250	2	六角法兰面螺栓	61	D
2	    Q1841255	2	六角法兰面螺栓	61	D	    Q1841255	2	六角法兰面螺栓	61	D
2	    Q32008	5	六角法兰面螺母	61	D	    Q32008	5	六角法兰面螺母	61	D
2	    Q32012	4	六角法兰面螺母	61	D	    Q32012	4	六角法兰面螺母	61	D
2	    RQ6853526	1	管线橡胶护套	61	D	    RQ6853526	1	管线橡胶护套	61	D
2	    RQ83216N7A	8	弯通快插管接头	61	D	    RQ83216N7A	8	弯通快插管接头	61	D
2	    RQ8510855	1	尼龙管	61	D	    RQ8510855	1	尼龙管	61	D
2	    RQ85114135E	1	尼龙管	61	D	    RQ85114135E	1	尼龙管	61	D
2	    RQ85114140D	1	尼龙管	61	D	    RQ85114140D	1	尼龙管	61	D
2	    RQ85114145A	1	尼龙管	61	D	    RQ85114145A	1	尼龙管	61	D
2	    RQ85114145C	1	尼龙管	61	D	    RQ85114145C	1	尼龙管	61	D
2	    RQ85114170A	1	尼龙管	61	D	    RQ85114170A	1	尼龙管	61	D
2	    RQ85114180C	1	尼龙管	61	D	    RQ85114180C	1	尼龙管	61	D
2	    RQ85114180D	1	尼龙管	61	D	    RQ85114180D	1	尼龙管	61	D
2	    RQ85114190E	1	尼龙管	61	D	    RQ85114190E	1	尼龙管	61	D
2	    RQ8511430	1	尼龙管	61	D	    RQ8511430	1	尼龙管	61	D
2	    RQ8551940	8	保护套	61	S	    RQ8551940	8	保护套	61	S
1	  3500M-T38V0	1	制动系统挂车模块组	40	P	  3500M-T38V0	1	制动系统挂车模块组	40	P
2	    3506006-T38V0	0	制动系统挂车模块装置图	81	P	    3506006-T38V0	0	制动系统挂车模块装置图	81	P
2	    3506094-T30J0	2	隔壁式弯管接头	60	D	    3506094-T30J0	2	隔壁式弯管接头	60	D
2	    3506570-H0100	2	气制动螺旋尼龙管带接头总成	58	D	    3506570-H0100	2	气制动螺旋尼龙管带接头总成	58	D
2	    3506802-T38V0	1	支架-管夹	60	P	    3506802-T38V0	1	支架-管夹	60	P
2	    3521010-K0100	1	气制动接头总成-供能	58	D	    3521010-K0100	1	气制动接头总成-供能	58	D
2	    3521020-K0100	1	气制动接头总成-控制	58	D	    3521020-K0100	1	气制动接头总成-控制	58	D
2	    3522910-T38V0	1	挂车阀工艺合件	55	P	    3522910-T38V0	1	挂车阀工艺合件	55	P
3	      3522010-92100	1	挂车阀总成	58	P	      3522010-92100	1	挂车阀总成	58	P
3	      3522101-T38V0	1	挂车阀支架	60	P	      3522101-T38V0	1	挂车阀支架	60	P
3	      Q1841250	2	六角法兰面螺栓	61	D	      Q1841250	2	六角法兰面螺栓	61	D
3	      Q32008	4	六角法兰面螺母	61	D	      Q32008	4	六角法兰面螺母	61	D
3	      Q32012	2	六角法兰面螺母	61	D	      Q32012	2	六角法兰面螺母	61	D
3	      RQ83216N4A	3	弯通快插管接头	61	D	      RQ83216N4A	3	弯通快插管接头	61	D
3	      RQ83216N6A	2	弯通快插管接头	61	D	      RQ83216N6A	2	弯通快插管接头	61	D
3	      RQ83216N7A	1	弯通快插管接头	61	D	      RQ83216N7A	1	弯通快插管接头	61	D
2	    35N-06036	2	垫密圈	60	D	    35N-06036	2	垫密圈	60	D
2	    35ZB8A-06105	5	扎带	60	D	    35ZB8A-06105	5	扎带	60	D
2	    37Z66-24230	5	尼龙扎带总成	52	D	    37Z66-24230	5	尼龙扎带总成	52	D
3	      37Z66-24231	1	卡扣	60	D	      37Z66-24231	1	卡扣	60	D
3	      37Z66-24232-B	1	箍带支座	60	D	      37Z66-24232-B	1	箍带支座	60	D
3	      37Z66-24233	1	双面齿塑料箍带	60	D	      37Z66-24233	1	双面齿塑料箍带	60	D
2	    Q1841225	2	六角法兰面螺栓	61	D	    Q1841225	2	六角法兰面螺栓	61	D
2	    Q32012	2	六角法兰面螺母	61	D	    Q32012	2	六角法兰面螺母	61	D
2	    Q353B18	2	六角较薄螺母	61	D	    Q353B18	2	六角较薄螺母	61	D
2	    Q40118	4	平垫圈	61	D	    Q40118	4	平垫圈	61	D
2	    RQ834N4N4N4A	2	T型三通快插管接头	61	D	    RQ834N4N4N4A	2	T型三通快插管接头	61	D
2	    RQ8511255C	1	尼龙管	61	D	    RQ8511255C	1	尼龙管	61	D
2	    RQ8511270A	1	尼龙管	61	D	    RQ8511270A	1	尼龙管	61	D
1	  3506A-T38V0	1	制动供气管路组-空压机至四保阀	40	P	  3506A-T38V0	1	制动供气管路组-空压机至四保阀	40	P
2	    3506041-K3100	1	隔壁式管接头	60	D	    3506041-K3100	1	隔壁式管接头	60	D
2	    3506202-T38V0	1	第一空气管总成-空压机至干燥器	51	P	    3506202-T38V0	1	第一空气管总成-空压机至干燥器	51	P
3	      3506203-T38V0	1	第一空气管-空压机至干燥器	60	P	      3506203-T38V0	1	第一空气管-空压机至干燥器	60	P
3	      35ZB3A-06020	2	联管螺母	60	D	      35ZB3A-06020	2	联管螺母	60	D
2	    3506204-T38V0	1	第二空气管总成-空压机至干燥器	51	P	    3506204-T38V0	1	第二空气管总成-空压机至干燥器	51	P
3	      3506205-T38V0	1	第二空气管-空压机至干燥器	60	P	      3506205-T38V0	1	第二空气管-空压机至干燥器	60	P
3	      35ZB3A-06020	2	联管螺母	60	D	      35ZB3A-06020	2	联管螺母	60	D
2	    3506206-T38V0	1	第三空气管总成-空压机至干燥器	51	P	    3506206-T38V0	1	第三空气管总成-空压机至干燥器	51	P
3	      3506207-T38V0	1	第三空气管-空压机至干燥器	60	P	      3506207-T38V0	1	第三空气管-空压机至干燥器	60	P
3	      35ZB3A-06020	2	联管螺母	60	D	      35ZB3A-06020	2	联管螺母	60	D
2	    3506720-90040	1	高温软管总成	51	D	    3506720-90040	1	高温软管总成	51	D
2	    3506821-T38V0	1	支架	60	P	    3506821-T38V0	1	支架	60	P
2	    3506821-T38V1	1	支架	60	P	    3506821-T38V1	1	支架	60	P
2	    3506821-T38V2	1	支架	60	P	    3506821-T38V2	1	支架	60	P
2	    3506821-T38V4	1	支架	60	P	    3506821-T38V4	1	支架	60	P
2	    3506821-T38V5	1	支架	60	P	    3506821-T38V5	1	支架	60	P
2	    3511910-T38V0	1	空气油水分离器及安装合件	55	P	    3511910-T38V0	1	空气油水分离器及安装合件	55	P
3	      3506801-T68L0	1	支架	60	D	      3506801-T68L0	1	支架	60	D
3	      3511010-T38V0	1	空气油水分离器总成	58	P	      3511010-T38V0	1	空气油水分离器总成	58	P
3	      3511121-T68L0	1	支架-空气油水分离器	60	D	      3511121-T68L0	1	支架-空气油水分离器	60	D
3	      Q18408120	4	六角法兰面螺栓	61	D	      Q18408120	4	六角法兰面螺栓	61	D
3	      Q32008	4	六角法兰面螺母	61	D	      Q32008	4	六角法兰面螺母	61	D
3	      RQ83122N8A	1	直通快插管接头	61	D	      RQ83122N8A	1	直通快插管接头	61	D
3	      RQ83222N8A	1	弯通快插管接头	61	D	      RQ83222N8A	1	弯通快插管接头	61	D
2	    35ZB3A-06108	2	直通管接头	60	D	    35ZB3A-06108	2	直通管接头	60	D
2	    35ZB6-06035	2	垫密圈	60	D	    35ZB6-06035	2	垫密圈	60	D
2	    35ZB6-06621	10	单管夹子上支架	60	D	    35ZB6-06621	10	单管夹子上支架	60	D
2	    35ZB7-06111	2	直通管接头	60	D	    35ZB7-06111	2	直通管接头	60	D
2	    Q1840825	2	六角法兰面螺栓	61	D	    Q1840825	2	六角法兰面螺栓	61	D
2	    Q1840835	2	六角法兰面螺栓	61	D	    Q1840835	2	六角法兰面螺栓	61	D
2	    Q1840850	5	六角法兰面螺栓	61	A	    Q1840850	5	六角法兰面螺栓	61	A
2	    Q1841055	1	六角法兰面螺栓	61	S	    Q1841055	1	六角法兰面螺栓	61	S
2	    Q1841235	2	六角法兰面螺栓	61	S	    Q1841235	2	六角法兰面螺栓	61	S
2	    Q32008	8	六角法兰面螺母	61	D	    Q32008	8	六角法兰面螺母	61	D
2	    Q32010	4	六角法兰面螺母	61	D	    Q32010	4	六角法兰面螺母	61	D
2	    Q32012	2	六角法兰面螺母	61	D	    Q32012	2	六角法兰面螺母	61	D
2	    Q353B27	1	六角较薄螺母	61	D	    Q353B27	1	六角较薄螺母	61	D
2	    RQ83122N8A	1	直通快插管接头	61	D	    RQ83122N8A	1	直通快插管接头	61	D
2	    RQ85116250	1	尼龙管	61	P	    RQ85116250	1	尼龙管	61	P
2	    RQ8511670	1	尼龙管	61	P	    RQ8511670	1	尼龙管	61	P
1	  3506N-T38V0	1	尼龙管组	40	P	  3506N-T38V0	1	尼龙管组	40	P
2	    3506110-T38V0	1	尼龙管束总成	58	P	    3506110-T38V0	1	尼龙管束总成	58	P
2	    RQ85106200	1	尼龙管	61	S	    RQ85106200	1	尼龙管	61	S
2	    RQ85106280	1	尼龙管	61	D	    RQ85106280	1	尼龙管	61	D
2	    RQ8510630	1	尼龙管	61	S	    RQ8510630	1	尼龙管	61	S
2	    RQ85108180	2	尼龙管	61	S	    RQ85108180	2	尼龙管	61	S
2	    RQ8510870A	1	尼龙管	61	D	    RQ8510870A	1	尼龙管	61	D
2	    RQ8510870C	1	尼龙管	61	D	    RQ8510870C	1	尼龙管	61	D
2	    RQ85110155	1	尼龙管	61	D	    RQ85110155	1	尼龙管	61	D
2	    RQ8511095	1	尼龙管	61	D	    RQ8511095	1	尼龙管	61	D
2	    RQ85114155	1	尼龙管	61	S	    RQ85114155	1	尼龙管	61	S
2	    RQ85114200	1	尼龙管	61	S	    RQ85114200	1	尼龙管	61	S
1	  3506P-T38V0	1	管夹、保护套、支架组	40	P	  3506P-T38V0	1	管夹、保护套、支架组	40	P
2	    3506800-KC500	2	支架	60	D	    3506800-KC500	2	支架	60	D
2	    3506806-KD400	23	支架-管夹	60	D	    3506806-KD400	23	支架-管夹	60	D
2	    3506827-T68L0	1	支架	60	D	    3506827-T68L0	1	支架	60	D
2	    35Z63E-06082	2	支架	60	D	    35Z63E-06082	2	支架	60	D
2	    35ZB8A-06105	30	扎带	60	D	    35ZB8A-06105	30	扎带	60	D
2	    Q1840825	2	六角法兰面螺栓	61	D	    Q1840825	2	六角法兰面螺栓	61	D
2	    Q1841225	18	六角法兰面螺栓	61	D	    Q1841225	18	六角法兰面螺栓	61	D
2	    Q1841230	6	六角法兰面螺栓	61	D	    Q1841230	6	六角法兰面螺栓	61	D
2	    Q1841240	1	六角法兰面螺栓	61	D	    Q1841240	1	六角法兰面螺栓	61	D
2	    Q1841245	1	六角法兰面螺栓	61	D	    Q1841245	1	六角法兰面螺栓	61	D
2	    Q32008	2	六角法兰面螺母	61	D	    Q32008	2	六角法兰面螺母	61	D
2	    Q32012	26	六角法兰面螺母	61	D	    Q32012	26	六角法兰面螺母	61	D
2	    RQ8551940	8	保护套	61	S	    RQ8551940	8	保护套	61	S
1	  3506Q-T68L0	1	软管及软管支架-车架与驾驶室管路接口处　	40	D	  3506Q-T68L0	1	软管及软管支架-车架与驾驶室管路接口处　	40	D
2	    3506801-T68A0	1	支架-管夹	60	D	    3506801-T68A0	1	支架-管夹	60	D
2	    3506820-T68L0	1	支架总成	52	D	    3506820-T68L0	1	支架总成	52	D
3	      3506853-T68L0	1	支架	60	D	      3506853-T68L0	1	支架	60	D
3	      3506854-T68L0	2	支架	60	D	      3506854-T68L0	2	支架	60	D
3	      3506855-T68L0	2	支架	60	D	      3506855-T68L0	2	支架	60	D
3	      3506855-T68L1	1	支架	60	D	      3506855-T68L1	1	支架	60	D
2	    3506892-T68A0	1	护套	60	D	    3506892-T68A0	1	护套	60	D
2	    3524081-T0100	1	橡胶嵌件	60	D	    3524081-T0100	1	橡胶嵌件	60	D
2	    35ZB8A-06105	16	扎带	60	D	    35ZB8A-06105	16	扎带	60	D
2	    Q1840825	6	六角法兰面螺栓	61	D	    Q1840825	6	六角法兰面螺栓	61	D
1	  3513M-T38V0	1	贮气筒及空气干燥器合件组	40	P	  3513M-T38V0	1	贮气筒及空气干燥器合件组	40	P
2	    3513910-T38V0	1	贮气筒工艺合件	55	P	    3513910-T38V0	1	贮气筒工艺合件	55	P
3	      3506031-T38A0	1	直通管接头	60	D	      3506031-T38A0	1	直通管接头	60	D
3	      3513010-T01H0	1	贮气筒总成	58	D	      3513010-T01H0	1	贮气筒总成	58	D
3	      3513103-K91M0	2	支架-贮气筒	60	D	      3513103-K91M0	2	支架-贮气筒	60	D
3	      3513125-K91M0	2	箍带总成-贮气筒	58	D	      3513125-K91M0	2	箍带总成-贮气筒	58	D
3	      3513D-040	1	放水阀总成	52	D	      3513D-040	1	放水阀总成	52	D
4	        1103C-041	1	汽油箱盖链索扣环	60	D	        1103C-041	1	汽油箱盖链索扣环	60	D
4	        3513D-041	1	垫片	60	D	        3513D-041	1	垫片	60	D
4	        3513D-042	1	回位弹簧　	60	D	        3513D-042	1	回位弹簧　	60	D
4	        3513D-043	1	阀体	60	D	        3513D-043	1	阀体	60	D
4	        3513D-045	1	阀门总成	51	D	        3513D-045	1	阀门总成	51	D
5	          3513D-046	1	阀杆	60	D	          3513D-046	1	阀杆	60	D
4	        Q43015	1	孔用弹性挡圈	61	D	        Q43015	1	孔用弹性挡圈	61	D
3	      35N-06036	1	垫密圈	60	D	      35N-06036	1	垫密圈	60	D
3	      35N-06037	1	垫密圈	60	D	      35N-06037	1	垫密圈	60	D
3	      35N-06038	1	螺塞	60	D	      35N-06038	1	螺塞	60	D
3	      35Z41-06047	1	螺塞	60	D	      35Z41-06047	1	螺塞	60	D
3	      Q340B10	4	1型六角螺母	61	D	      Q340B10	4	1型六角螺母	61	D
3	      RQ83222N6A	1	弯通快插管接头	61	D	      RQ83222N6A	1	弯通快插管接头	61	D
3	      RQ83222N8A	1	弯通快插管接头	61	D	      RQ83222N8A	1	弯通快插管接头	61	D
2	    3513910-T38V1	1	贮气筒工艺合件	55	P	    3513910-T38V1	1	贮气筒工艺合件	55	P
3	      3506031-T38A0	1	直通管接头	60	D	      3506031-T38A0	1	直通管接头	60	D
3	      3513010-T68L0	1	贮气筒总成(15L)	51	D	      3513010-T68L0	1	贮气筒总成(15L)	51	D
4	        3513020-T68L0	1	贮气筒端盖总成	52	D	        3513020-T68L0	1	贮气筒端盖总成	52	D
5	          3513021-T68L0	1	贮气筒端盖	60	D	          3513021-T68L0	1	贮气筒端盖	60	D
5	          3513023-T68L0	3	管接头座－端盖	60	D	          3513023-T68L0	3	管接头座－端盖	60	D
4	        3513020-T68L1	1	贮气筒端盖总成	52	D	        3513020-T68L1	1	贮气筒端盖总成	52	D
5	          3513021-T68L1	1	贮气筒端盖	60	D	          3513021-T68L1	1	贮气筒端盖	60	D
5	          3513023-T68L1	1	管接头座－端盖	60	D	          3513023-T68L1	1	管接头座－端盖	60	D
4	        3513025-T68L0	1	贮气筒外壳总成	51	D	        3513025-T68L0	1	贮气筒外壳总成	51	D
5	          3513026-T68L0	1	贮气筒外壳	60	D	          3513026-T68L0	1	贮气筒外壳	60	D
5	          3513028-T68L0	1	管接头座－外壳	60	D	          3513028-T68L0	1	管接头座－外壳	60	D
3	      3513104-T38V0	2	支架-贮气筒	60	P	      3513104-T38V0	2	支架-贮气筒	60	P
3	      3513115-T38H0	2	芯轴	60	D	      3513115-T38H0	2	芯轴	60	D
3	      3513116-T38H0	2	芯轴	60	D	      3513116-T38H0	2	芯轴	60	D
3	      3513126-T31Z0	2	箍带-贮气筒	60	D	      3513126-T31Z0	2	箍带-贮气筒	60	D
3	      3513D-040	1	放水阀总成	52	D	      3513D-040	1	放水阀总成	52	D
4	        1103C-041	1	汽油箱盖链索扣环	60	D	        1103C-041	1	汽油箱盖链索扣环	60	D
4	        3513D-041	1	垫片	60	D	        3513D-041	1	垫片	60	D
4	        3513D-042	1	回位弹簧　	60	D	        3513D-042	1	回位弹簧　	60	D
4	        3513D-043	1	阀体	60	D	        3513D-043	1	阀体	60	D
4	        3513D-045	1	阀门总成	51	D	        3513D-045	1	阀门总成	51	D
5	          3513D-046	1	阀杆	60	D	          3513D-046	1	阀杆	60	D
4	        Q43015	1	孔用弹性挡圈	61	D	        Q43015	1	孔用弹性挡圈	61	D
3	      3524Z06A-010	1	取气阀总成	52	D	      3524Z06A-010	1	取气阀总成	52	D
4	        3524Z06A-011	1	取气阀罩	60	D	        3524Z06A-011	1	取气阀罩	60	D
4	        3524Z06A-020	1	取气阀本体总成	52	D	        3524Z06A-020	1	取气阀本体总成	52	D
5	          3524Z06A-021	1	取气阀本体	60	D	          3524Z06A-021	1	取气阀本体	60	D
5	          3524Z06A-022	1	垫片	60	D	          3524Z06A-022	1	垫片	60	D
5	          3524Z06A-023	1	弹簧	60	D	          3524Z06A-023	1	弹簧	60	D
5	          3524Z06A-030	1	阀杆总成	52	D	          3524Z06A-030	1	阀杆总成	52	D
6	            3524Z06A-031	1	取气阀阀杆	60	D	            3524Z06A-031	1	取气阀阀杆	60	D
6	            3524Z06A-032	1	O型圈	60	D	            3524Z06A-032	1	O型圈	60	D
5	          Q43009	1	卡圈	61	D	          Q43009	1	卡圈	61	D
3	      3525020-90000	1	单向阀总成	52	D	      3525020-90000	1	单向阀总成	52	D
4	        3525011-90000	1	管接头本体	60	D	        3525011-90000	1	管接头本体	60	D
4	        3525N49-012	1	螺塞	60	D	        3525N49-012	1	螺塞	60	D
4	        3525N49-013	1	垫圈	60	D	        3525N49-013	1	垫圈	60	D
4	        3525N49-014	1	回位弹簧	60	D	        3525N49-014	1	回位弹簧	60	D
4	        3525N49-015	1	阀座总成	51	D	        3525N49-015	1	阀座总成	51	D
3	      35N-06036	1	垫密圈	60	D	      35N-06036	1	垫密圈	60	D
3	      35N-06037	2	垫密圈	60	D	      35N-06037	2	垫密圈	60	D
3	      35N-06038	1	螺塞	60	D	      35N-06038	1	螺塞	60	D
3	      Q218B0860	2	内六角圆柱头螺钉	61	D	      Q218B0860	2	内六角圆柱头螺钉	61	D
3	      RQ83122N6A	3	直通快插管接头	61	P	      RQ83122N6A	3	直通快插管接头	61	P
3	      RQ83222N4A	1	弯通快插管接头	61	D	      RQ83222N4A	1	弯通快插管接头	61	D
2	    3513950-T38V0	1	贮气筒及空气干燥器工艺合件	55	P	    3513950-T38V0	1	贮气筒及空气干燥器工艺合件	55	P
3	      3506513-T38V0	1	成型尼龙管	60	P	      3506513-T38V0	1	成型尼龙管	60	P
3	      3506515-T38V0	1	成型尼龙管	60	P	      3506515-T38V0	1	成型尼龙管	60	P
3	      3506517-T38V0	1	成型尼龙管	60	P	      3506517-T38V0	1	成型尼龙管	60	P
3	      3506803-T38V0	1	支架-管夹	60	P	      3506803-T38V0	1	支架-管夹	60	P
3	      3513010-T31Z0	2	贮气筒总成(40l)	58	D	      3513010-T31Z0	2	贮气筒总成(40l)	58	D
3	      3513010-T68L0	1	贮气筒总成(15L)	51	D	      3513010-T68L0	1	贮气筒总成(15L)	51	D
4	        3513020-T68L0	1	贮气筒端盖总成	52	D	        3513020-T68L0	1	贮气筒端盖总成	52	D
5	          3513021-T68L0	1	贮气筒端盖	60	D	          3513021-T68L0	1	贮气筒端盖	60	D
